combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,combination_current_price,combination_price_missing,component_sku,component_quantity,component_item_id,component_woo_id,component_target_key,combination_component_count,component_combination_count,relationship_type,possible_duplicate_component_woo_id,edge_rule,edge_confidence,propagation_status
3730,3624,0201010|0201010|0724006,"Con 2 tatamis de 100x200 cm, 180x200x14,5 cm",582.96,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3731,3624,0201010|0201010|0724007,"Con 2 tatamis de 100x200 cm, 200x200x14,5 cm",606.70,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3713,3623,0201010|0201010|0728001,"90x200x14,5 cm, Con 2 tatamis de 100x200 cm",527.70,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3708,3623,0201010|0201010|0728002,"140x200x14,5 cm, Con 2 tatamis de 100x200 cm",598.22,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3709,3623,0201010|0201010|0728003,"150x200x14,5 cm, Con 2 tatamis de 100x200 cm",609.58,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3710,3623,0201010|0201010|0728004,"160x200x14,5 cm, Con 2 tatamis de 100x200 cm",686.14,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3711,3623,0201010|0201010|0728005,"180x200x14,5 cm, Con 2 tatamis de 100x200 cm",742.22,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3712,3623,0201010|0201010|0728006,"200x200x14,5 cm, Con 2 tatamis de 100x200 cm",796.36,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3692,3622,0201010|0201010|0730001,"90x200x14,5 cm, Con 2 tatamis de 100x200 cm",589.70,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3687,3622,0201010|0201010|0730002,"140x200x14,5 cm, Con 2 tatamis de 100x200 cm",717.30,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
