combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,woo_status,regular_price,sale_price,effective_price,price_missing,primary_component_rows,all_evidence_rows,distinct_component_count,component_skus,component_quantities,component_item_ids,component_woo_ids,exact_primary_edges,blocked_primary_edges,original_status,operational_status,quarantine_group_ids,quarantine_reason,quarantine_status,worker_review_status
4611,3658,0201001|0201001|1249001|1249001|0609011|0606011,"Crudo, Crudo, Azul, Granate",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0606011 | 0609011 | 1249001,0201001=2 | 0606011=1 | 0609011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4614,3658,0201001|0201001|1249001|1249001|0609011|0616011,"Crudo, Crudo, Azul, Negro",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0609011 | 0616011 | 1249001,0201001=2 | 0609011=1 | 0616011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4615,3658,0201001|0201001|1249001|1249001|0609011|0607011,"Crudo, Crudo, Azul, Rojo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0607011 | 0609011 | 1249001,0201001=2 | 0607011=1 | 0609011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4629,3658,0201001|0201001|1249001|1249001|0608011|0609011,"Crudo, Crudo, Crudo, Azul",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0608011 | 0609011 | 1249001,0201001=2 | 0608011=1 | 0609011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4631,3658,0201001|0201001|1249001|1249001|0608011|0606011,"Crudo, Crudo, Crudo, Granate",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0606011 | 0608011 | 1249001,0201001=2 | 0606011=1 | 0608011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4634,3658,0201001|0201001|1249001|1249001|0608011|0616011,"Crudo, Crudo, Crudo, Negro",publish,950.00,749.90,749.90,NO,4,4,4,0201001 | 0608011 | 0616011 | 1249001,0201001=2 | 0608011=1 | 0616011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4635,3658,0201001|0201001|1249001|1249001|0608011|0607011,"Crudo, Crudo, Crudo, Rojo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0607011 | 0608011 | 1249001,0201001=2 | 0607011=1 | 0608011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4638,3658,0201001|0201001|1249001|1249001|0606011|0615011,"Crudo, Crudo, Granate, Amarillo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0606011 | 0615011 | 1249001,0201001=2 | 0606011=1 | 0615011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4639,3658,0201001|0201001|1249001|1249001|0606011|0609011,"Crudo, Crudo, Granate, Azul",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0606011 | 0609011 | 1249001,0201001=2 | 0606011=1 | 0609011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4641,3658,0201001|0201001|1249001|1249001|0606011|0608011,"Crudo, Crudo, Granate, Crudo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0606011 | 0608011 | 1249001,0201001=2 | 0606011=1 | 0608011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4644,3658,0201001|0201001|1249001|1249001|0606011|0616011,"Crudo, Crudo, Granate, Negro",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0606011 | 0616011 | 1249001,0201001=2 | 0606011=1 | 0616011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4645,3658,0201001|0201001|1249001|1249001|0606011|0607011,"Crudo, Crudo, Granate, Rojo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0606011 | 0607011 | 1249001,0201001=2 | 0606011=1 | 0607011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4668,3658,0201001|0201001|1249001|1249001|0616011|0615011,"Crudo, Crudo, Negro, Amarillo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0615011 | 0616011 | 1249001,0201001=2 | 0615011=1 | 0616011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4669,3658,0201001|0201001|1249001|1249001|0616011|0609011,"Crudo, Crudo, Negro, Azul",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0609011 | 0616011 | 1249001,0201001=2 | 0609011=1 | 0616011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4671,3658,0201001|0201001|1249001|1249001|0616011|0608007,"Crudo, Crudo, Negro, Crudo",publish,950.00,749.90,749.90,NO,4,4,4,0201001 | 0608007 | 0616011 | 1249001,0201001=2 | 0608007=1 | 0616011=1 | 1249001=2,1249001 | 201001 | 608007,,3,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4672,3658,0201001|0201001|1249001|1249001|0616011|0606011,"Crudo, Crudo, Negro, Granate",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0606011 | 0616011 | 1249001,0201001=2 | 0606011=1 | 0616011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4675,3658,0201001|0201001|1249001|1249001|0616011|0607011,"Crudo, Crudo, Negro, Rojo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0607011 | 0616011 | 1249001,0201001=2 | 0607011=1 | 0616011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4688,3658,0201001|0201001|1249001|1249001|0607011|0615011,"Crudo, Crudo, Rojo, Amarillo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0607011 | 0615011 | 1249001,0201001=2 | 0607011=1 | 0615011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4689,3658,0201001|0201001|1249001|1249001|0607011|0609011,"Crudo, Crudo, Rojo, Azul",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0607011 | 0609011 | 1249001,0201001=2 | 0607011=1 | 0609011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4691,3658,0201001|0201001|1249001|1249001|0607011|0608011,"Crudo, Crudo, Rojo, Crudo",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0607011 | 0608011 | 1249001,0201001=2 | 0607011=1 | 0608011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4692,3658,0201001|0201001|1249001|1249001|0607011|0606011,"Crudo, Crudo, Rojo, Granate",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0606011 | 0607011 | 1249001,0201001=2 | 0606011=1 | 0607011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
4695,3658,0201001|0201001|1249001|1249001|0607011|0616011,"Crudo, Crudo, Rojo, Negro",private,711.15,578.17,578.17,NO,4,4,4,0201001 | 0607011 | 0616011 | 1249001,0201001=2 | 0607011=1 | 0616011=1 | 1249001=2,1249001 | 201001,,2,2,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,PENDING_BUSINESS_REVIEW,PENDING
7333,7332,0504011|0724003|0619002-1,"Futón de algodón, 140x200x14,5 cm, Beige jaspeado",publish,762,628.45,628.45,NO,3,3,3,0504011 | 0619002-1 | 0724003,0504011=1 | 0619002-1=1 | 0724003=1,504011 | 724003,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7334,7332,0504011|0724003|0617002-1,"Futón de algodón, 140x200x14,5 cm, Gris jaspeado",publish,762,628.45,628.45,NO,3,3,3,0504011 | 0617002-1 | 0724003,0504011=1 | 0617002-1=1 | 0724003=1,504011 | 724003,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7335,7332,0504011|0724003|0615002-1,"Futón de algodón, 140x200x14,5 cm, Amarillo",publish,762.00,628.00,628.00,NO,3,3,3,0504011 | 0615002-1 | 0724003,0504011=1 | 0615002-1=1 | 0724003=1,504011 | 724003,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7336,7332,0504011|0730002|0614002-1,"Futón con dos capas de látex, 140x200x14,5 cm, Verde",publish,992.00,830.00,830.00,NO,3,3,3,0504011 | 0614002-1 | 0730002,0504011=1 | 0614002-1=1 | 0730002=1,504011 | 730002,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7337,7332,0504011|0724003-1,"Futón de algodón, 140x200x14,5 cm, Sin funda",publish,664.00,558.45,558.45,NO,2,2,2,0504011 | 0724003-1,0504011=1 | 0724003-1=1,504011,,1,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
7338,7332,0504011|0724003|0609002-1,"Futón de algodón, 140x200x14,5 cm, Azul",publish,762.00,628.00,628.00,NO,3,3,3,0504011 | 0609002-1 | 0724003,0504011=1 | 0609002-1=1 | 0724003=1,504011 | 724003,,2,1,BLOCKED_INCOMPLETE_COMPOSITION,QUARANTINED_NO_PROPAGATION,TECH-001,UNRESOLVED_EXACT_EVIDENCE_OUTSIDE_BUSINESS_SCOPE,PENDING_TECHNICAL_EVIDENCE,NOT_SUBMITTED_TECHNICAL
