combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,woo_status,regular_price,sale_price,effective_price,price_missing,primary_component_rows,all_evidence_rows,distinct_component_count,component_skus,component_quantities,component_item_ids,component_woo_ids,exact_primary_edges,blocked_primary_edges,original_status,operational_status,quarantine_group_ids,quarantine_reason,price_cut_status,affected_woo_variation_ids,physical_components,exact_component_rows,publication_allowed
3662,3610,0302009|0201002|0201002,Con 2 tatamis de 90x200 cm,publish,649.00,581.70,581.70,NO,2,4,2,0201002 | 0302009,0201002=2 | 0302009=1,201002 | 302009,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3662,201002 | 302009,2,NO
3664,3611,0302002|0201002|0201002,Con 2 tatamis de 90x200 cm,publish,700,668.80,668.80,NO,2,4,2,0201002 | 0302002,0201002=2 | 0302002=1,201002 | 302002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3664,201002 | 302002,2,NO
3667,3612,0302018|0201001|0201001,"174x214x20 cm, 160x200 cm, Crudo, sin barniz, Con 2 tatamis de 80x200 cm",publish,822.00,730.70,730.70,NO,2,4,2,0201001 | 0302018,0201001=2 | 0302018=1,201001 | 302018,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3667,201001 | 302018,2,NO
3668,3612,0302019|0201002|0201002,"194x214x20 cm, 180x200 cm, Crudo, sin barniz, Con 2 tatamis de 90x200 cm",publish,834,751.70,751.70,NO,2,4,2,0201002 | 0302019,0201002=2 | 0302019=1,201002 | 302019,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3668,201002 | 302019,2,NO
3679,3618,0402010|0201001|0201001,"174x214x40 cm, 160x200 cm, Crudo, sin barniz, Con 2 tatamis de 80x200 cm",publish,778.90,730.70,730.70,NO,2,4,2,0201001 | 0402010,0201001=2 | 0402010=1,201001 | 402010,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3679,201001 | 402010,2,NO
3680,3618,0402012|0201002|0201002,"194x214x40 cm, 180x200 cm, Crudo, sin barniz, Con 2 tatamis de 90x200 cm",publish,812.90,751.70,751.70,NO,2,4,2,0201002 | 0402012,0201002=2 | 0402012=1,201002 | 402012,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3680,201002 | 402012,2,NO
3687,3622,0201010|0201010|0730002,"140x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,838,717.30,717.30,NO,2,4,2,0201010 | 0730002,0201010=2 | 0730002=1,201010 | 730002,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3687,201010 | 730002,2,NO
3688,3622,0201010|0201010|0730003,"150x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,850,729.94,729.94,NO,2,4,2,0201010 | 0730003,0201010=2 | 0730003=1,201010 | 730003,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3688,201010 | 730003,2,NO
3689,3622,0201010|0201010|0730004,"160x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,864,741.46,741.46,NO,2,4,2,0201010 | 0730004,0201010=2 | 0730004=1,201010 | 730004,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3689,201010 | 730004,2,NO
3690,3622,0201010|0201010|0730005,"180x200x14,5 cm, Con 2 tatamis de 100x200 cm",publish,874,751.38,751.38,NO,2,4,2,0201010 | 0730005,0201010=2 | 0730005=1,201010 | 730005,,2,0,COMPLETE_EXACT,INCLUDED_EXACT,,,READY_READ_ONLY_INPUT,3690,201010 | 730005,2,NO
